tag;id;titre;url;ancre
python::flottants;p08-02;Flottants et log-sum-exp;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-02-flottants-lse.html#s4;s4
python::keepdim;p08-04;Tenseurs : ruban, strides, vue vs copie, broadcasting;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-04-tenseurs-ruban-strides-broadcasting.html;
python::strides;p08-04;Tenseurs : ruban, strides, vue vs copie, broadcasting;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-04-tenseurs-ruban-strides-broadcasting.html;
python::tenseurs;p08-04;Tenseurs : ruban, strides, vue vs copie, broadcasting;https://learnings-ek5.pages.dev/sheets/chains/chain-p08-04-tenseurs-ruban-strides-broadcasting.html;
stats::base-rate;p00-03;Conditionnement et Bayes;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-03-conditionnement-bayes.html;
stats::bayes;p00-03;Conditionnement et Bayes;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-03-conditionnement-bayes.html#s5;s5
stats::bayes;p02-03;Le posterior entier;https://learnings-ek5.pages.dev/sheets/chains/chain-p02-03-conjugues-posterior.html;
stats::bessel;p01-03;Inférence en régression;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-03-inference-regression.html;
stats::beta;p02-03;Le posterior entier;https://learnings-ek5.pages.dev/sheets/chains/chain-p02-03-conjugues-posterior.html;
stats::binomiale;p00-01;Lois usuelles — quelle situation déclenche quelle loi;https://learnings-ek5.pages.dev/sheets/chains/chain-p00-01-lois-quand-laquelle.html#s3;s3
stats::binomiale;p01-01;L'objet aléatoire;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-01-objet-aleatoire.html;
stats::bootstrap;b04;La variance d'une moyenne corrélée;https://learnings-ek5.pages.dev/sheets/bridges/bridge-04-variance-moyenne-correlee.html;
stats::bootstrap;p01-05;Bootstrap, la distribution d'échantillonnage sans formule;https://learnings-ek5.pages.dev/sheets/chains/chain-p01-05-bootstrap.html;
